ID,Password,Expected Strength,Actual Strength,Score,Entropy,Effective Entropy,Attack Type,Estimated Crack Time,Category
168,;kD/\?-e6|yX\cdBQ+,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
140,Smart#Home8,Moderate,Moderate,50,72.1,52.1,Brute Force Attack,Few Minutes,Moderate Password
254,Q>AX^'TAlvqMAv-$Hm}drI)(,Excellent,Moderate,55,153.42,143.42,Brute Force Attack,Several Days,Excellent Random
39,internet,Very Weak,Very Weak,20,37.6,17.6,Brute Force Attack,Instantly,Common Password
126,Summer@Rain8,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
196,"3&r<i,GMl<W;TShpv{",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
284,"w~11%w*SwEjC1,MI.1Mcd2U\",Excellent,Strong,65,157.31,137.31,Brute Force Attack,Several Days,Excellent Random
138,Flower#Garden3,Moderate,Moderate,60,91.76,81.76,Brute Force Attack,Several Days,Moderate Password
113,welcome123,Weak,Very Weak,5,51.7,3.7,Dictionary Attack,Instantly,Pattern Password
169,"79#RMpmA""|IQ%F${zJ",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
118,security123,Weak,Very Weak,20,56.87,28.87,Sequential Guessing,Few Seconds,Pattern Password
278,FtDcS?Jo.&vItL?\exiLkVuO,Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
272,"m6r|?iN$+aQXg""Rjb@5}NLQ@",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
156,Engineer@Design5,Moderate,Strong,65,104.87,84.87,Brute Force Attack,Several Days,Moderate Password
177,"T>)bDV/K)TZD*yt$""t",Strong,Moderate,60,115.06,115.06,Brute Force Attack,Several Days,Strong Random
179,/.2rAaWaS2YO*8Efz+,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
3,123456789,Very Weak,Very Weak,0,29.9,0.0,Pattern Attack,Instantly,Common Password
116,student123,Weak,Very Weak,20,51.7,23.7,Sequential Guessing,Few Seconds,Pattern Password
144,Python@Code8,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
178,"k<%,7Rg:n-z%rKD(!*",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
121,Ali@786Pak,Moderate,Moderate,50,65.55,45.55,Brute Force Attack,Few Minutes,Moderate Password
211,$Fcx;-G]iR9hp\yD1d\xuAHL,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
261,mG7{1r5R}o#VDb8J^9qnr7c$,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
128,Lion@Tiger45,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
75,OpenAI@123,Weak,Weak,40,65.55,37.55,Sequential Guessing,Few Seconds,Dictionary Password
30,master,Very Weak,Very Weak,10,28.2,0.0,Brute Force Attack,Instantly,Common Password
84,qazwsx123,Weak,Very Weak,10,46.53,3.53,Pattern Attack,Instantly,Pattern Password
270,t}UfDr`&wpq$7#*PiTTu#2ES,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
108,hhhh8888,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
224,xt=0P?T(CZq.!TuKA|8oea}j,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
159,Learning@AI9,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
281,"Nk9)4d5+r=/_H6t3h9x,63|e",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
247,!?W*lkp;3j@[2`wr.%.SgPCa,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
223,+4ggL`BYN|TRjjT1WAK.(b@v,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
66,Football@123,Weak,Weak,35,78.66,40.66,Dictionary Attack,Few Minutes,Dictionary Password
199,>oe8#M]0us1-m58u-a,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
86,123qwe,Weak,Very Weak,10,31.02,0.0,Sequential Guessing,Instantly,Pattern Password
214,"Z3ViO^""<&iZulZKT=/sWhw<J",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
160,System@Control7,Moderate,Strong,70,98.32,98.32,Brute Force Attack,Several Days,Moderate Password
13,admin123,Very Weak,Very Weak,5,41.36,0.0,Dictionary Attack,Instantly,Common Password
36,iloveyou,Very Weak,Very Weak,20,37.6,17.6,Brute Force Attack,Instantly,Common Password
29,sunshine,Very Weak,Very Weak,20,37.6,17.6,Brute Force Attack,Instantly,Common Password
143,Student@Exam9,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
285,"9/hRmp*,E\:L$e%4|lRx""#a3",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
255,N.5Vr2k%@@>>>N~\wO:io39:,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
171,4%-^g^Nh'3D8t>fhPg,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
52,Machine@123,Weak,Weak,40,72.1,44.1,Sequential Guessing,Few Minutes,Dictionary Password
96,654321abc,Weak,Very Weak,10,46.53,0.0,Pattern Attack,Instantly,Pattern Password
209,"1%JF&v(p>^Us$[IvtHQ""yG.A",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
248,"wZ-Su""HQj!_Aq2jtQcWG^Gq*",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
42,Islamabad@123,Weak,Weak,30,85.21,37.21,Dictionary Attack,Few Seconds,Dictionary Password
90,poiuy123,Weak,Very Weak,20,41.36,13.36,Sequential Guessing,Instantly,Pattern Password
245,"G=@E%E|I]""A;""xmSLqr&*HB4",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
137,Cloud@Night6,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
27,football,Very Weak,Very Weak,5,37.6,0.0,Dictionary Attack,Instantly,Common Password
294,":o\}3rUD{,MHiSrff%""~0/Tj",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
142,Teacher@Class5,Moderate,Moderate,60,91.76,81.76,Brute Force Attack,Several Days,Moderate Password
201,"OIi7eTGKAa=g9|Q?""#ed""Bm.",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
1,123456,Very Weak,Very Weak,0,19.93,0.0,Pattern Attack,Instantly,Common Password
269,<Y/AFz0E4q;Q[<(iX^Bs:w#A,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
273,i~b?#3+JfK0Kkh4PrW'(YO:N,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
101,aaaa1111,Weak,Weak,25,41.36,1.36,Brute Force Attack,Instantly,Pattern Password
260,T\)*6n\CYe3M|lOY3/@\V6Sr,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
256,}&JSF$J[?_c8&OIxiyWUy.fr,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
172,u:^(73lvBp'+x)7[b[,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
99,12341234,Weak,Very Weak,10,26.58,0.0,Sequential Guessing,Instantly,Pattern Password
37,secret123,Very Weak,Very Weak,20,46.53,18.53,Sequential Guessing,Instantly,Common Password
62,Artificial@123,Weak,Moderate,45,91.76,63.76,Sequential Guessing,Several Hours,Dictionary Password
151,Cyber@Shield8,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
237,Axi5QQ}CYE\MWD<l1HYq>Pu(,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
203,"FpXsL""WnYTtzYScCu[yhJ^$A",Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
243,w[r;eJ@&lh4DT\Q_}$Jg>4NJ,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
12,admin,Very Weak,Very Weak,0,23.5,0.0,Dictionary Attack,Instantly,Common Password
297,0>C[L<DP(h@ccP$zAzb\d3IK,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
268,$D6(YiMJ$Y5dsj(J#KC3QsB.,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
28,monkey,Very Weak,Very Weak,10,28.2,0.0,Brute Force Attack,Instantly,Common Password
220,0@1x9Ttkr:G-q~yJnCM%LK8t,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
5,111111,Very Weak,Very Weak,5,19.93,0.0,Brute Force Attack,Instantly,Common Password
123,BlueSky@2025,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
33,pakistan,Very Weak,Very Weak,5,37.6,0.0,Dictionary Attack,Instantly,Common Password
205,"eq=d,F)(Sp`#tMNq8x~p_D2c",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
163,(a$#LjZxoj]WA$+>2d,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
210,"|@;VAJX@Tdh`Z+el34,*!tBv",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
286,".|eiAM4Dy4sxgSYU""ISwsYTs",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
139,Digital@Future5,Moderate,Strong,70,98.32,98.32,Brute Force Attack,Several Days,Moderate Password
63,Intelligence@123,Weak,Moderate,55,104.87,86.87,Sequential Guessing,Several Days,Dictionary Password
136,Nature#View2,Moderate,Moderate,60,78.66,68.66,Brute Force Attack,Several Hours,Moderate Password
129,Apple#Orange8,Moderate,Moderate,45,85.21,55.21,Dictionary Attack,Few Minutes,Moderate Password
291,/mHbT71ef:)fk1nYnz[Y5xEs,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
9,987654321,Very Weak,Very Weak,0,29.9,0.0,Pattern Attack,Instantly,Common Password
71,Notebook@123,Weak,Moderate,45,78.66,50.66,Sequential Guessing,Few Minutes,Dictionary Password
265,xvlNwZ^?$U4R;Py-Z)y@sRQG,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
65,Developer@123,Weak,Moderate,45,85.21,57.21,Sequential Guessing,Few Minutes,Dictionary Password
45,Peshawar@123,Weak,Moderate,50,78.66,60.66,Sequential Guessing,Several Hours,Dictionary Password
280,"|_}FU0(8GE,e8kU[UH>v4C<.",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
157,Developer@Code4,Moderate,Strong,65,98.32,88.32,Brute Force Attack,Several Days,Moderate Password
41,Pakistan@123,Weak,Weak,35,78.66,40.66,Dictionary Attack,Few Minutes,Dictionary Password
124,GreenTree#12,Moderate,Moderate,55,78.66,58.66,Brute Force Attack,Few Minutes,Moderate Password
276,"vnSdCc*""[OI;f{&K!wj]p\>A",Excellent,Moderate,60,153.42,153.42,Brute Force Attack,Several Days,Excellent Random
217,0R$.PGV7b>Y1.rA>A^B5Ak4N,Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
154,Windows@User7,Moderate,Moderate,60,85.21,75.21,Brute Force Attack,Several Hours,Moderate Password
24,zxcvbn,Very Weak,Very Weak,0,28.2,0.0,Pattern Attack,Instantly,Common Password
262,"~J&>^'M^**EW9Nw,k<'?Hvxs",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
111,password111,Weak,Very Weak,10,56.87,6.87,Dictionary Attack,Instantly,Pattern Password
82,asdf1234,Weak,Very Weak,10,41.36,0.0,Pattern Attack,Instantly,Pattern Password
208,|Ms:PB@R%HG~:'kQ-NjJ|X2>,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
213,8qqiiS|4:)BY%k(>5lKw8A;+,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
40,administrator,Very Weak,Very Weak,15,61.11,31.11,Dictionary Attack,Few Seconds,Common Password
241,:<N4M.&0%U??;9SJYFrXyxV],Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
292,"}P5L>cX9""Ilb8hp,c2=6vfY>",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
259,"Pi|vN_iB;&d!PmX;e7!fhh&,",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
200,-xNC/VETOD>#qa375.,Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
15,welcome123,Very Weak,Very Weak,5,51.7,3.7,Dictionary Attack,Instantly,Common Password
48,University@123,Weak,Moderate,50,91.76,73.76,Sequential Guessing,Several Hours,Dictionary Password
95,789xyz123,Weak,Very Weak,20,46.53,10.53,Sequential Guessing,Instantly,Pattern Password
264,":>/n),Uq4hsrUsUz'1Z3W]#'",Excellent,Strong,65,157.31,147.31,Brute Force Attack,Several Days,Excellent Random
228,"su37eQAAsJ""|ieZ`?T}c9TtU",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
274,".zVd,H06j2Ak4W]A?65ZJ`fU",Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
202,Q6;/Z%>h&zFaXgbsA_us5{IT,Excellent,Strong,70,157.31,157.31,Brute Force Attack,Several Days,Excellent Random
162,"88""uHOG#h5??yf^eR#",Strong,Strong,70,117.98,117.98,Brute Force Attack,Several Days,Strong Random
44,Lahore@123,Weak,Weak,25,65.55,17.55,Dictionary Attack,Instantly,Dictionary Password
